MESS_DATUM,T_aussen_C,Heizlast_kW
2019041615,18.7,0.0
2019041616,18.3,0.0
2019041617,16.1,0.0
2019041618,14.5,0.0
2019041619,12.9,388.36946750000004
2019041620,11.0,492.299325
2019041621,10.4,525.11928
2019041622,10.4,525.11928
2019041623,11.8,448.5393849999999
2019041700,11.5,464.9493625
2019041701,11.9,443.0693925
2019041702,11.2,481.3593400000001
2019041703,10.6,514.179295
2019041704,9.9,552.4692425
2019041705,9.8,557.9392349999999
2019041706,9.9,441.34924249999995
2019041707,10.3,0.0
2019041708,11.7,0.0
2019041709,12.3,0.0
2019041710,13.4,0.0
2019041711,14.1,0.0
2019041712,15.4,0.0
2019041713,16.9,0.0
2019041714,16.6,0.0
2019041715,16.9,0.0
2019041716,17.3,0.0
2019041717,17.3,0.0
2019041718,16.8,0.0
2019041719,12.6,404.779445
2019041720,13.2,371.9594900000001
2019041721,13.2,371.9594900000001
2019041722,10.4,525.11928
2019041723,11.7,454.0093775000001
2019041800,13.8,339.1395349999999
2019041801,12.8,393.83946
2019041802,12.5,410.2494375
2019041803,11.3,475.88934749999993
2019041804,10.9,497.7693175
2019041805,11.5,464.9493625
2019041806,12.3,287.82942249999985
2019041807,14.1,0.0
2019041808,15.8,0.0
2019041809,17.3,0.0
2019041810,18.4,0.0
2019041811,19.8,0.0
2019041812,20.8,0.0
2019041813,21.4,0.0
2019041814,22.0,0.0
2019041815,23.0,0.0
2019041816,23.0,0.0
2019041817,22.3,0.0
2019041818,21.1,0.0
2019041819,19.2,43.759940000000036
2019041820,18.2,98.45986500000004
2019041821,17.1,158.62978249999995
2019041822,16.3,202.38972249999998
2019041823,15.5,246.1496625
2019041900,14.7,289.90960250000006
2019041901,13.7,344.60952750000007
2019041902,12.3,421.1894224999999
2019041903,10.0,546.99925
2019041904,11.7,454.0093775000001
2019041905,11.0,492.299325
2019041906,13.0,49.539474999999975
2019041907,15.5,0.0
2019041908,17.7,0.0
2019041909,19.4,0.0
2019041910,20.4,0.0
2019041911,22.0,0.0
2019041912,23.4,0.0
2019041913,23.7,0.0
2019041914,24.4,0.0
2019041915,24.1,0.0
2019041916,24.7,0.0
2019041917,23.8,0.0
2019041918,21.1,0.0
2019041919,17.5,136.7498125
2019041920,14.7,289.90960250000006
2019041921,14.6,295.37959500000005
2019041922,16.8,175.03975999999994
2019041923,15.8,229.73968499999998
2019042000,15.6,240.67967000000004
2019042001,11.0,492.299325
2019042002,8.5,629.0491374999999
2019042003,10.3,530.5892725
2019042004,9.2,590.7591900000001
2019042005,7.5,683.7490625
2019042006,10.1,186.00925750000007
2019042007,15.0,0.0
2019042008,17.4,0.0
2019042009,19.3,0.0
2019042010,21.6,0.0
2019042011,23.3,0.0
2019042012,24.3,0.0
2019042013,24.4,0.0
2019042014,24.8,0.0
2019042015,25.5,0.0
2019042016,25.2,0.0
2019042017,24.2,0.0
2019042018,22.5,0.0
2019042019,20.5,0.0
2019042020,19.7,16.409977500000036
2019042021,18.0,109.39985
2019042022,16.8,175.03975999999994
2019042023,16.2,207.85971500000002
2019042100,12.5,410.2494375
2019042101,9.6,568.8792199999999
2019042102,9.8,557.9392349999999
2019042103,7.7,672.8090775000001
2019042104,6.9,716.5690175
2019042105,7.1,705.6290325
2019042106,10.9,142.24931750000002
2019042107,14.0,0.0
2019042108,17.0,0.0
2019042109,19.9,0.0
2019042110,21.3,0.0
2019042111,22.6,0.0
2019042112,23.4,0.0
2019042113,24.5,0.0
2019042114,24.1,0.0
2019042115,24.4,0.0
2019042116,24.7,0.0
2019042117,24.7,0.0
2019042118,22.5,0.0
2019042119,18.0,0.0
2019042120,16.7,180.50975250000002
2019042121,15.0,273.499625
2019042122,15.8,229.73968499999998
2019042123,15.3,257.08964749999996
2019042200,15.0,273.499625
2019042201,11.2,481.3593400000001
2019042202,13.4,361.019505
2019042203,8.2,645.459115
2019042204,8.2,645.459115
2019042205,9.1,596.2291825
2019042206,13.7,0.0
2019042207,15.8,0.0
2019042208,18.2,0.0
2019042209,19.9,0.0
2019042210,22.0,0.0
2019042211,23.3,0.0
2019042212,23.9,0.0
2019042213,24.8,0.0
2019042214,25.0,0.0
2019042215,25.5,0.0
2019042216,24.6,0.0
2019042217,23.5,0.0
2019042218,22.0,0.0
2019042219,20.4,0.0
2019042220,18.4,87.51988000000007
2019042221,17.1,158.62978249999995
2019042222,15.8,229.73968499999998
2019042223,14.7,289.90960250000006
2019042300,13.5,355.5495125
2019042301,12.6,404.779445
2019042302,11.8,448.5393849999999
2019042303,10.9,497.7693175
2019042304,9.7,563.4092275
2019042305,10.0,524.75925
2019042306,11.6,37.239369999999994
2019042307,13.8,0.0
2019042308,15.8,0.0
2019042309,16.8,0.0
2019042310,17.4,0.0
2019042311,19.1,0.0
2019042312,19.9,0.0
2019042313,20.0,0.0
2019042314,20.5,0.0
2019042315,21.3,0.0
2019042316,21.5,0.0
2019042317,21.1,0.0
2019042318,20.3,0.0
2019042319,19.0,0.0
2019042320,18.2,98.45986500000004
2019042321,17.8,120.33983499999997
2019042322,17.3,147.68979749999997
2019042323,16.8,175.03975999999994
2019042400,16.7,180.50975250000002
2019042401,16.7,180.50975250000002
2019042402,17.0,164.099775
2019042403,16.3,202.38972249999998
2019042404,16.0,218.7997
2019042405,15.8,229.73968499999998
2019042406,16.0,85.43969999999999
2019042407,16.4,0.0
2019042408,17.3,0.0
2019042409,19.7,0.0
2019042410,22.7,0.0
2019042411,24.7,0.0
2019042412,25.3,0.0
2019042413,24.8,0.0
2019042414,25.1,0.0
2019042415,25.0,0.0
2019042416,25.0,0.0
2019042417,15.9,0.0
2019042418,12.9,10.609467500000028
2019042419,11.1,464.5893325
2019042420,10.1,541.5292575000001
2019042421,9.2,590.7591900000001
2019042422,9.3,585.2891974999999
2019042423,9.2,590.7591900000001
2019042500,8.4,634.51913
2019042501,8.5,629.0491374999999
2019042502,8.5,629.0491374999999
