STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2024031603;3;   9.5;  89.0;eor
2667;2024031604;3;   9.5;  95.0;eor
2667;2024031605;3;   9.8;  91.0;eor
2667;2024031606;3;  10.0;  91.0;eor
2667;2024031607;3;  10.1;  95.0;eor
2667;2024031608;3;   8.9;  90.0;eor
2667;2024031609;3;   9.6;  83.0;eor
2667;2024031610;3;   9.1;  76.0;eor
2667;2024031611;3;   8.3;  87.0;eor
2667;2024031612;3;   8.0;  89.0;eor
2667;2024031613;3;   9.7;  71.0;eor
2667;2024031614;3;   9.8;  65.0;eor
2667;2024031615;3;   9.2;  68.0;eor
2667;2024031616;3;   9.3;  68.0;eor
2667;2024031617;3;   9.0;  68.0;eor
2667;2024031618;3;   8.3;  74.0;eor
2667;2024031619;3;   7.8;  72.0;eor
2667;2024031620;3;   7.1;  79.0;eor
2667;2024031621;3;   6.3;  78.0;eor
2667;2024031622;3;   6.1;  86.0;eor
2667;2024031623;3;   6.0;  85.0;eor
2667;2024031700;3;   5.5;  87.0;eor
2667;2024031701;3;   5.6;  86.0;eor
2667;2024031702;3;   4.8;  88.0;eor
2667;2024031703;3;   3.7;  91.0;eor
2667;2024031704;3;   3.5;  91.0;eor
2667;2024031705;3;   3.2;  91.0;eor
2667;2024031706;3;   4.3;  86.0;eor
2667;2024031707;3;   5.0;  83.0;eor
2667;2024031708;3;   7.2;  75.0;eor
2667;2024031709;3;   8.5;  72.0;eor
2667;2024031710;3;  10.3;  66.0;eor
2667;2024031711;3;  11.5;  64.0;eor
2667;2024031712;3;  12.8;  59.0;eor
2667;2024031713;3;  12.8;  61.0;eor
2667;2024031714;3;  13.1;  59.0;eor
2667;2024031715;3;  13.4;  58.0;eor
2667;2024031716;3;  13.3;  59.0;eor
2667;2024031717;3;  13.0;  61.0;eor
2667;2024031718;3;  11.6;  61.0;eor
2667;2024031719;3;  11.1;  64.0;eor
2667;2024031720;3;  11.0;  67.0;eor
2667;2024031721;3;  11.0;  68.0;eor
2667;2024031722;3;  10.8;  71.0;eor
2667;2024031723;3;  10.6;  73.0;eor
2667;2024031800;3;  10.0;  81.0;eor
2667;2024031801;3;   9.0;  95.0;eor
2667;2024031802;3;   9.0;  94.0;eor
2667;2024031803;3;   8.9;  96.0;eor
2667;2024031804;3;   9.0;  97.0;eor
2667;2024031805;3;   9.0;  96.0;eor
2667;2024031806;3;   9.0;  95.0;eor
2667;2024031807;3;   9.3;  94.0;eor
2667;2024031808;3;   9.9;  93.0;eor
2667;2024031809;3;  10.8;  91.0;eor
2667;2024031810;3;  12.5;  83.0;eor
2667;2024031811;3;  13.3;  80.0;eor
2667;2024031812;3;  15.4;  68.0;eor
2667;2024031813;3;  14.4;  66.0;eor
2667;2024031814;3;  14.8;  66.0;eor
2667;2024031815;3;  14.4;  65.0;eor
2667;2024031816;3;  14.8;  62.0;eor
2667;2024031817;3;  13.4;  67.0;eor
2667;2024031818;3;  13.1;  70.0;eor
2667;2024031819;3;  10.4;  80.0;eor
2667;2024031820;3;   8.8;  87.0;eor
2667;2024031821;3;   8.5;  89.0;eor
2667;2024031822;3;   7.2;  92.0;eor
2667;2024031823;3;   7.1;  91.0;eor
2667;2024031900;3;   5.5;  90.0;eor
2667;2024031901;3;   6.6;  95.0;eor
2667;2024031902;3;   5.4;  94.0;eor
2667;2024031903;3;   5.2;  92.0;eor
2667;2024031904;3;   7.5;  88.0;eor
