MESS_DATUM,T_aussen_C,COP
2019020104,1.0,4.531617647058823
2019020105,1.0,4.531617647058823
2019020106,1.2,4.55843195266272
2019020107,1.5,4.599253731343283
2019020108,1.4,4.585565476190473
2019020109,1.9,4.6548338368580024
2019020110,2.2,4.697408536585364
2019020111,2.9,4.799844236760121
2019020112,4.5,5.051639344262295
2019020113,4.3,5.018729641693812
2019020114,5.4,5.205236486486482
2019020115,4.8,5.101821192052982
2019020116,4.6,5.068256578947372
2019020117,3.6,4.906847133757965
2019020118,2.3,4.7117737003058116
2019020119,2.2,4.697408536585364
2019020120,2.3,4.7117737003058116
2019020121,1.9,4.6548338368580024
2019020122,2.3,4.7117737003058116
2019020123,1.0,4.531617647058823
2019020200,1.8,4.640813253012049
2019020201,1.2,4.55843195266272
2019020202,1.3,4.571958456973295
2019020203,1.3,4.571958456973295
2019020204,1.5,4.599253731343283
2019020205,1.0,4.531617647058823
2019020206,1.4,4.585565476190473
2019020207,1.3,4.571958456973295
2019020208,1.2,4.55843195266272
2019020209,1.5,4.599253731343283
2019020210,2.0,4.668939393939394
2019020211,2.9,4.799844236760121
2019020212,2.4,4.726226993865027
2019020213,2.4,4.726226993865027
2019020214,2.7,4.770123839009286
2019020215,2.2,4.697408536585364
2019020216,1.8,4.640813253012049
2019020217,1.6,4.613023952095811
2019020218,1.2,4.55843195266272
2019020219,1.2,4.55843195266272
2019020220,1.0,4.531617647058823
2019020221,1.1,4.544985250737466
2019020222,1.0,4.531617647058823
2019020223,1.0,4.531617647058823
2019020300,0.9,4.518328445747797
2019020301,0.9,4.518328445747797
2019020302,0.8,4.5051169590643285
2019020303,0.6,4.478924418604654
2019020304,0.8,4.5051169590643285
2019020305,0.8,4.5051169590643285
2019020306,0.8,4.5051169590643285
2019020307,0.6,4.478924418604654
2019020308,0.9,4.518328445747797
2019020309,1.4,4.585565476190473
